task_id,hostname,cpu_model,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,perc_cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,aoi_num
7,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,3b/96388d,9171,demToGraph,-,demToGraph (7),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,8435,7603,-,96.8,0.4,291020800,1958612992,292028416,2119839744,30870394,2774907,5355,151,0,2875392,25,1739,/home/joba/PycharmProjects/IWD_graph_analysis/work/3b/96388ddda63367eebfaee2b2393037,-,-,7
13,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,7d/340ce3,9255,demToGraph,-,demToGraph (13),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9034,7621,-,97.1,0.4,291692544,1954816000,294256640,2119839744,30871995,2812444,5355,162,0,2912256,18,1768,/home/joba/PycharmProjects/IWD_graph_analysis/work/7d/340ce3bfc98bd4fadf097a3eddaa88,-,-,13
16,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,f6/6ff276,9188,demToGraph,-,demToGraph (16),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9792,8282,-,89.1,0.4,294993920,1883734016,295256064,2119839744,30862574,2912384,5352,171,0,3010560,17,1585,/home/joba/PycharmProjects/IWD_graph_analysis/work/f6/6ff276e42e9e510d94030d745bcca6,-,-,16
3,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,0f/7c06c3,9377,demToGraph,-,demToGraph (3),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9690,8079,-,85.5,0.4,290664448,1961779200,291971072,2119839744,30871456,2813777,5355,152,0,2912256,12,1873,/home/joba/PycharmProjects/IWD_graph_analysis/work/0f/7c06c39468561c94e3a3cf82c805e6,-,-,3
10,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,32/38752a,9508,demToGraph,-,demToGraph (10),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9719,7939,-,89.1,0.4,291155968,1954816000,291852288,2119835648,30862569,2841440,5352,156,0,2940928,13,1892,/home/joba/PycharmProjects/IWD_graph_analysis/work/32/38752a5b793a7160da47a09a8d2a43,-,-,10
11,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,72/2bc6e3,9531,demToGraph,-,demToGraph (11),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9806,7939,-,88.6,0.4,291618816,1965969408,291618816,2119839744,30869853,2809980,5355,151,0,2912256,14,1511,/home/joba/PycharmProjects/IWD_graph_analysis/work/72/2bc6e3a55898d9145235f25bc3fe73,-,-,11
6,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,c1/c3582a,9289,demToGraph,-,demToGraph (6),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,10090,8498,-,85.4,0.4,292233216,1959235584,292233216,2119839744,30872544,2701055,5355,146,0,2801664,14,1528,/home/joba/PycharmProjects/IWD_graph_analysis/work/c1/c3582a408dc3a44d979f25a7969189,-,-,6
9,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,82/413c09,9711,demToGraph,-,demToGraph (9),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,10540,8391,-,89.8,0.4,295653376,1961783296,295653376,2119839744,30862574,3093096,5352,214,0,3190784,18,1418,/home/joba/PycharmProjects/IWD_graph_analysis/work/82/413c09a4ca9a01e49d53f00f21de63,-,-,9
1,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,c1/416f50,9231,demToGraph,-,demToGraph (1),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,10869,9243,-,88.9,0.5,304988160,1954816000,310996992,2119835648,30862574,3547430,5352,319,0,3645440,14,2656,/home/joba/PycharmProjects/IWD_graph_analysis/work/c1/416f50c2456166b5c2fd3706c6ec7d,-,-,1
4,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,e3/216b82,9612,demToGraph,-,demToGraph (4),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,11088,9376,-,86.6,0.5,313012224,1968033792,313012224,2119839744,30862574,3556050,5352,321,0,3657728,13,1866,/home/joba/PycharmProjects/IWD_graph_analysis/work/e3/216b82bea9f9d17528d0b3307834b4,-,-,4
19,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,ff/a391e0,18261,demToGraph,-,demToGraph (19),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9185,8048,-,99.8,0.5,300568576,1954803712,300568576,2119839744,30862577,3234413,5352,246,0,3334144,18,1795,/home/joba/PycharmProjects/IWD_graph_analysis/work/ff/a391e07056f83612c1208d13390481,-,-,19
17,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,81/aebb55,17834,demToGraph,-,demToGraph (17),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9872,8858,-,93.2,0.4,294686720,1884540928,308056064,2119839744,30862577,3450288,5352,296,0,3551232,17,2215,/home/joba/PycharmProjects/IWD_graph_analysis/work/81/aebb554d151a70db0e1a4e6cf93407,-,-,17
20,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,bf/83ce95,18554,demToGraph,-,demToGraph (20),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9373,7965,-,95.5,0.4,293982208,1961779200,293982208,2119839744,30862577,2929633,5352,175,0,3026944,18,1927,/home/joba/PycharmProjects/IWD_graph_analysis/work/bf/83ce95380105739611e4ffcd0fd2db,-,-,20
27,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,3b/9cad62,19380,demToGraph,-,demToGraph (27),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9074,7779,-,90.5,0.4,292098048,1965211648,293670912,2119839744,30862571,2876012,5352,166,0,2977792,17,1894,/home/joba/PycharmProjects/IWD_graph_analysis/work/3b/9cad6269cdedc8b1905462057615d0,-,-,27
26,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,81/825ca3,19514,demToGraph,-,demToGraph (26),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9281,8022,-,93.3,0.4,298516480,1975255040,298516480,2119839744,30862571,3154440,5352,227,0,3260416,17,1662,/home/joba/PycharmProjects/IWD_graph_analysis/work/81/825ca3a698c4519d74c4c26876e01f,-,-,26
21,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,96/a6a5d2,18673,demToGraph,-,demToGraph (21),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,10482,9142,-,92.1,0.5,305868800,1958719488,311300096,2119839744,30869857,3514024,5355,311,0,3616768,17,3584,/home/joba/PycharmProjects/IWD_graph_analysis/work/96/a6a5d2e939ea3574dac0d814c73417,-,-,21
29,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,de/48dc3c,19652,demToGraph,-,demToGraph (29),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9677,7996,-,88.2,0.4,292143104,1975857152,292958208,2119839744,30862574,2888650,5352,171,0,2985984,26,2668,/home/joba/PycharmProjects/IWD_graph_analysis/work/de/48dc3caf002aba2e00c9464058dc42,-,-,29
31,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,73/a90678,20571,demToGraph,-,demToGraph (31),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9271,8196,-,89.4,0.4,294244352,1960357888,294244352,2119839744,30862580,2975297,5352,186,0,3076096,23,2287,/home/joba/PycharmProjects/IWD_graph_analysis/work/73/a906785bc52158761a848e4298e2ff,-,-,31
28,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,d2/9b39e6,19643,demToGraph,-,demToGraph (28),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9927,8466,-,88.2,0.4,296325120,1975779328,296325120,2119843840,30862580,3141732,5352,225,0,3248128,12,1841,/home/joba/PycharmProjects/IWD_graph_analysis/work/d2/9b39e60acf26735f511e4505cc065c,-,-,28
24,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,0a/15a5f6,19554,demToGraph,-,demToGraph (24),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,10225,9139,-,91.5,0.5,307171328,1961779200,314482688,2119839744,30862578,3625966,5352,337,0,3723264,14,2868,/home/joba/PycharmProjects/IWD_graph_analysis/work/0a/15a5f65d03932839a211276ea25583,-,-,24
46,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,7c/34208a,25569,demToGraph,-,demToGraph (46),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,8270,7505,-,92.1,0.4,291352576,1965469696,294612992,2119839744,30862578,3062227,5352,206,0,3162112,12,2248,/home/joba/PycharmProjects/IWD_graph_analysis/work/7c/34208a07a92872e425aea5d05d56b7,-,-,46
36,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,f3/1e0258,26425,demToGraph,-,demToGraph (36),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,8571,7716,-,91.0,0.4,293765120,1961779200,295337984,2119839744,30862587,3064635,5352,208,0,3170304,17,3041,/home/joba/PycharmProjects/IWD_graph_analysis/work/f3/1e025823841fd49e5be55337c627ea,-,-,36
37,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,32/647a08,26925,demToGraph,-,demToGraph (37),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,8555,7800,-,91.9,0.4,293769216,1975779328,293908480,2119835648,30869889,2756115,5355,166,0,2854912,21,2376,/home/joba/PycharmProjects/IWD_graph_analysis/work/32/647a0880bb14c298ee575f7f0cd93e,-,-,37
35,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,aa/09d42b,27097,demToGraph,-,demToGraph (35),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,8608,7824,-,91.5,0.4,291647488,1961517056,291647488,2119835648,30871916,2284955,5355,137,0,2383872,20,2405,/home/joba/PycharmProjects/IWD_graph_analysis/work/aa/09d42b48c605df10b7cd5a160bb645,-,-,35
34,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,37/bb83ff,27476,demToGraph,-,demToGraph (34),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9425,8452,-,97.0,0.5,303718400,1961779200,303718400,2119843840,30862585,3325884,5352,267,0,3428352,30,2654,/home/joba/PycharmProjects/IWD_graph_analysis/work/37/bb83ff4c6e081a0df2d02ab4e9ba9a,-,-,34
33,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,31/344131,28030,demToGraph,-,demToGraph (33),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9250,7771,-,92.6,0.4,289296384,1961779200,289296384,2119839744,30871319,1604967,5355,96,0,1708032,27,2227,/home/joba/PycharmProjects/IWD_graph_analysis/work/31/344131ddb6a7160c89a23658aeba7a,-,-,33
41,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,69/67c0e1,28835,demToGraph,-,demToGraph (41),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9301,7754,-,91.2,0.4,291266560,1961779200,291266560,2119835648,30870151,2222300,5355,130,0,2326528,11,2606,/home/joba/PycharmProjects/IWD_graph_analysis/work/69/67c0e1b25e6a8c8a494e6737452f6f,-,-,41
47,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,84/254345,29678,demToGraph,-,demToGraph (47),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,8827,7679,-,89.9,0.4,290140160,1958715392,290140160,2119839744,30873556,2048451,5355,113,0,2146304,16,1914,/home/joba/PycharmProjects/IWD_graph_analysis/work/84/25434501a1829f813e38ba920e350e,-,-,47
